PROY,Residencia,SEGMENTO,PARTIDA,INI,FIN,Fecha,CANT,UNIDAD,MES,MES LETRA,MONTO
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,4.2,370+502,374+104,15/09/2023,3.602,Km,9,sep-23,5226
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,4.6,235+000,237+104,27/07/2023,2,Medici�n,7,jul-23,1983
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,4.9,235+000,237+104,27/07/2023,2,Medici�n,7,jul-23,794
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,4.6,425+100,425+100,28/07/2023,1,Medici�n,7,jul-23,991
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,4.2,374+104,378+104,14/09/2023,4,Km,9,sep-23,5804
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,4.2,378+104,381+838,13/09/2023,3.734,Km,9,sep-23,5418
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,4.2,381+838,383+704,12/09/2023,1.866,Km,9,sep-23,2707
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,4.6,429+000,435+000,01/08/2023,7,Medici�n,8,ago-23,6940
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,4.9,429+000,435+000,01/08/2023,7,Medici�n,8,ago-23,2778
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,8.1,230+966,231+104,01/08/2023,207,m2,8,ago-23,13180
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,4.6,426+600,429+000,03/08/2023,2,Medici�n,8,ago-23,1983
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,4.9,426+600,429+000,03/08/2023,2,Medici�n,8,ago-23,794
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,4.2,383+812,385+012,09/09/2023,1.2,Km,9,sep-23,1741
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,4.2,385+012,391+583,08/09/2023,6.571,Km,9,sep-23,9534
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,4.6,424+104,428+104,09/08/2023,5,Medici�n,8,ago-23,4957
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,4.9,424+000,428+000,09/08/2023,5,Medici�n,8,ago-23,1985
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,4.2,391+583,394+451,05/09/2023,2.868,Km,9,sep-23,4161
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,8.1,423+923,423+946,10/08/2023,34.5,m2,8,ago-23,2197
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,4.2,394+451,395+729,04/09/2023,1.278,Km,9,sep-23,1854
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,4.6,422+104,423+104,11/08/2023,2,Medici�n,8,ago-23,1983
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,4.9,422+620,422+620,11/08/2023,1,Medici�n,8,ago-23,397
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,8.1,422+872,423+070,11/08/2023,297,m2,8,ago-23,18910
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,4.2,395+729,397+704,02/09/2023,1.975,Km,9,sep-23,2866
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,4.14,435+000,NA,14/08/2023,0.5,Hr,8,ago-23,532
CENAGAS,Mendoza,GSD 30 EST 5 ARROYO CLARO - EST 6 TIERRA BLANCA,4.2,397+704,398+873,01/09/2023,1.169,Km,9,sep-23,1696
